ruas_jalan,hari,periode,jenis_kendaraan,volume,panjang_jalan,faktor_emisi,vkt,emisi_g,emisi_kg,emisi_ton
Jl. Agatis 2,Libur,Peak hour siang,Mobil,63,0.9639,190.6,60.725699999999996,11574.31842,11.574318419999999,0.011574318419999998
Jl. Agatis 2,Libur,Peak hour siang,Bus,0,0.9639,887.8,0.0,0.0,0.0,0.0
Jl. Agatis 2,Libur,Peak hour interval 2,Motor,199,0.9639,57.2,191.8161,10971.880920000001,10.971880920000002,0.010971880920000001
Jl. Agatis 2,Libur,Peak hour interval 2,Mobil,63,0.9639,190.6,60.725699999999996,11574.31842,11.574318419999999,0.011574318419999998
Jl. Agatis 2,Libur,Peak hour interval 2,Bus,1,0.9639,887.8,0.9639,855.75042,0.85575042,0.00085575042
Jl. Agatis 2,Libur,Peak hour sore,Motor,182,0.9639,57.2,175.4298,10034.584560000001,10.03458456,0.01003458456
Jl. Agatis 2,Libur,Peak hour sore,Mobil,19,0.9639,190.6,18.3141,3490.6674599999997,3.4906674599999996,0.0034906674599999997
Jl. Agatis 2,Libur,Peak hour sore,Bus,0,0.9639,887.8,0.0,0.0,0.0,0.0
Jl. Agatis 2,Kerja,Rata-rata Harian,Motor,979,0.9639,57.2,943.6581,53977.24332,53.97724332,0.05397724332
Jl. Agatis 2,Kerja,Rata-rata Harian,Mobil,111,0.9639,190.6,106.99289999999999,20392.846739999997,20.392846739999996,0.020392846739999995
Jl. Agatis 2,Kerja,Rata-rata Harian,Bus,14,0.9639,887.8,13.4946,11980.505879999999,11.980505879999999,0.011980505879999999
Jl. Agatis 2,Libur,Rata-rata Harian,Motor,442,0.9639,57.2,426.0438,24369.70536,24.36970536,0.02436970536
Jl. Agatis 2,Libur,Rata-rata Harian,Mobil,40,0.9639,190.6,38.556,7348.7735999999995,7.3487735999999995,0.0073487736
Jl. Agatis 2,Libur,Rata-rata Harian,Bus,0,0.9639,887.8,0.0,0.0,0.0,0.0
