ruas_jalan,Volume,Total_VKT,Total_Emisi,Persentase
Jl. Meranti,17598,14242.0614,1.1104678843399995,27.367115118949275
Jl. Agatis 2,9558,9212.9562,0.7305369182999986,18.003841645218806
Jl. Ramin,20614,7831.2586,0.6028056411799998,14.85594640706788
Jl. Kamper,8314,6053.4234,0.4575045473999978,11.275048826450359
Jl. Agatis 1,9163,4458.7158,0.3574543162799991,8.809343846278104
Jl. Tj,8081,3773.827,0.3092189129999996,7.620598225636168
Jl. Ulin,6765,3822.9015000000004,0.2916547781799999,7.18773591024434
Jl. Pinus,5496,2599.0584,0.1980294286599993,4.8803700201550635
